eName,eLength,eClass,eState,eReads
Xecc|Confirmed|1,969,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/41028336/ccs
Xecc|Confirmed|2,2292,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/100207346/ccs
Xecc|Confirmed|3,2065,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/128190353/ccs
Xecc|Confirmed|4,3897,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/160039728/ccs
Xecc|Confirmed|5,1876,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/166921999/ccs
Xecc|Confirmed|6,2214,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/152438598/ccs
Xecc|Confirmed|7,1055,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/182518497/ccs
Xecc|Confirmed|8,969,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/180159149/ccs
Xecc|Confirmed|9,5069,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/225184302/ccs
Xecc|Confirmed|10,4055,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/254543437/ccs
Xecc|Confirmed|11,4273,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/89722035/ccs
Xecc|Confirmed|12,3425,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/91231936/ccs
Xecc|Confirmed|13,1803,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/68294409/ccs
Xecc|Confirmed|14,913,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/42470791/ccs
Xecc|Confirmed|15,969,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/70520413/ccs
Xecc|Confirmed|16,3334,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/124654748/ccs
Xecc|Confirmed|17,2263,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/83301565/ccs
Xecc|Confirmed|18,647,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/167842864/ccs
Xecc|Confirmed|19,4066,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/137432322/ccs
Xecc|Confirmed|20,867,Xecc,Confirmed-eccDNA,m84074_240804_073425_s4/200808189/ccs
